Active Commuters,Active Providers,Total Transactions,Active NFT Listings,Average NFT Price,Completed Trips,AMM Pools,AMM Trading Volume,Execution Time
0,4,50,0,0,50,0,0,"{'commuter_decisions': 5.412101745605469e-05, 'provider_offers': 5.078315734863281e-05, 'marketplace_update': 5.245208740234375e-06, 'blockchain_operations': 3.2901763916015625e-05}"
0,4,50,0,0,50,0,0,"{'commuter_decisions': 4.100799560546875e-05, 'provider_offers': 4.5299530029296875e-05, 'marketplace_update': 4.172325134277344e-06, 'blockchain_operations': 2.4437904357910156e-05}"
0,4,50,0,0,50,0,0,"{'commuter_decisions': 4.029273986816406e-05, 'provider_offers': 5.157788594563802e-05, 'marketplace_update': 4.132588704427083e-06, 'blockchain_operations': 2.1298726399739582e-05}"
0,4,50,0,0,50,0,0,"{'commuter_decisions': 3.7550926208496094e-05, 'provider_offers': 4.9591064453125e-05, 'marketplace_update': 3.874301910400391e-06, 'blockchain_operations': 1.9431114196777344e-05}"
0,4,50,0,0,50,0,0,"{'commuter_decisions': 3.54766845703125e-05, 'provider_offers': 4.744529724121094e-05, 'marketplace_update': 3.719329833984375e-06, 'blockchain_operations': 1.850128173828125e-05}"
0,4,50,0,0,50,0,0,"{'commuter_decisions': 3.429253896077474e-05, 'provider_offers': 4.565715789794922e-05, 'marketplace_update': 3.4570693969726562e-06, 'blockchain_operations': 1.7881393432617188e-05}"
0,4,50,0,0,50,0,0,"{'commuter_decisions': 3.324236188616071e-05, 'provider_offers': 4.458427429199219e-05, 'marketplace_update': 3.235680716378348e-06, 'blockchain_operations': 1.7336436680385043e-05}"
1,4,50,0,0,50,0,0,"{'commuter_decisions': 0.000488579273223877, 'provider_offers': 4.652142524719238e-05, 'marketplace_update': 3.4570693969726562e-06, 'blockchain_operations': 1.6927719116210938e-05}"
1,4,50,0,0,50,0,0,"{'commuter_decisions': 0.0004394054412841797, 'provider_offers': 4.7471788194444445e-05, 'marketplace_update': 3.735224405924479e-06, 'blockchain_operations': 0.008427699406941732}"
1,4,52,0,0,52,0,0,"{'commuter_decisions': 0.0004012823104858398, 'provider_offers': 5.130767822265625e-05, 'marketplace_update': 3.743171691894531e-06, 'blockchain_operations': 0.007592630386352539}"
3,4,52,0,0,52,0,0,"{'commuter_decisions': 0.0008785074407404119, 'provider_offers': 5.507469177246094e-05, 'marketplace_update': 3.966418179598722e-06, 'blockchain_operations': 0.006903821771795099}"
3,4,52,0,0,52,0,0,"{'commuter_decisions': 0.0008086164792378744, 'provider_offers': 5.7578086853027344e-05, 'marketplace_update': 4.0531158447265625e-06, 'blockchain_operations': 0.019771099090576172}"
3,4,56,0,0,56,0,0,"{'commuter_decisions': 0.0007492762345534104, 'provider_offers': 6.0906777015099157e-05, 'marketplace_update': 4.0531158447265625e-06, 'blockchain_operations': 0.018252079303448018}"
3,4,56,0,0,56,0,0,"{'commuter_decisions': 0.0006976638521466937, 'provider_offers': 6.285735539027623e-05, 'marketplace_update': 3.984996250697545e-06, 'blockchain_operations': 0.016949483326503208}"
3,4,56,0,0,56,0,0,"{'commuter_decisions': 0.0006529649098714192, 'provider_offers': 6.378491719563803e-05, 'marketplace_update': 3.862380981445312e-06, 'blockchain_operations': 0.01582050323486328}"
3,4,56,0,0,56,0,0,"{'commuter_decisions': 0.0006138235330581665, 'provider_offers': 6.461143493652344e-05, 'marketplace_update': 3.7550926208496094e-06, 'blockchain_operations': 0.014832720160484314}"
4,4,56,0,0,56,0,0,"{'commuter_decisions': 0.0007136148564955767, 'provider_offers': 6.722001468434053e-05, 'marketplace_update': 3.7585987764246326e-06, 'blockchain_operations': 0.013961385278140797}"
4,4,56,0,0,56,0,0,"{'commuter_decisions': 0.0006762080722384983, 'provider_offers': 6.998909844292534e-05, 'marketplace_update': 4.106097751193576e-06, 'blockchain_operations': 0.01863220002916124}"
4,4,58,0,0,58,0,0,"{'commuter_decisions': 0.0006422996520996094, 'provider_offers': 7.099854318719161e-05, 'marketplace_update': 4.040567498458059e-06, 'blockchain_operations': 0.017652611983449834}"
4,4,58,0,0,58,0,0,"{'commuter_decisions': 0.0006115913391113281, 'provider_offers': 7.148981094360352e-05, 'marketplace_update': 3.9458274841308595e-06, 'blockchain_operations': 0.016770780086517334}"
4,4,58,0,0,58,0,0,"{'commuter_decisions': 0.0005838984534853981, 'provider_offers': 7.17072259812128e-05, 'marketplace_update': 3.848757062639509e-06, 'blockchain_operations': 0.015972966239565893}"
5,4,58,0,0,58,0,0,"{'commuter_decisions': 0.0006536353718150746, 'provider_offers': 7.25334340875799e-05, 'marketplace_update': 3.7605112249200996e-06, 'blockchain_operations': 0.015247691761363636}"
